dad (n)
daily (adj & adv) 
dance (n & v) 
dancer (n) 
dancing (n) 
danger (n) 
dangerous (adj) 
dark (adj)
date (n)
daughter (n)
day (n) 
dead (adj) 
dear (adj)
decide (v)
deep (adj)
degree (n)
delay (n & v)
delicious (adj) 
deliver (v) 
dentist (n) 
department (n)
department store (n)
describe (v) 
desert (n) 
design (v)
design (planning) (n)
design (process) (n) 
design (drawing) (n) 
desk (n)
dessert (n) 
details (n) 
diary (n) 
dictionary (n) 
die (v) 
difference (n) 
different (adj) 
difficult (adj) 
digital (adj)
digital camera (n) 
dining room (n) 
dinner (n) 
dinosaur (n) 
diploma (n) 
directions (n) 
dirty (adj)
disco (n) 
discount (n) 
discover (v) 
discuss (v) 
dish (n)
dive (v)
diving (adj)
do (av & v)
doctor (n) 
document (n) 
dog (n)
doll (n) 
dollar (n) 
dolphin (n) 
donkey (n) 
door (n) 
dot (n)
double (adj)
download (n & v)
downstairs (adv)
Dr (n)
draw (v) 
drawer (n) 
drawing (n)
dream (n & v) 
dress (n & v) 
dressed (adj)
drink (n & v)
drive (v)
driver (n)
driving licence (n)
drop (v)
drugstore (n) (Am Eng) (Br Eng: chemist) 
drum (n)
dry (adj & v) 
duck (n) 
during (prep) 
DVD (n)
DVD player (n)
each (det & pron) 
each other (pron) 
ear (n)
early (adj & adv)
earn (v) 
earring (n) 
easily (adv)
east (n, adj & adv)
easy (adj)
eat (v)
egg (n) 
electric (adj) 
electricity (n) 
elephant (n)
elevator (n) (Am Eng) (Br Eng: lift) 
else (adv)
email (n & v)
empty (adj) 
end (v & n) 
engine (n) 
engineer (n) 
enjoy (v)
enough (adv, det & pron)
enter (v)
competition?
entrance (n)
envelope (n) 
environment (n) 
equipment (n)
eraser (n) (Am Eng) (Br Eng: rubber)
especially (adv)
euro (n) 
even (adv) 
evening (n) 
event (n)
ever (adv)
every (det)
everybody (pron)
everyone (pron) 
everything (pron) 
everywhere (adv) 
exactly (adv) 
examination/exam (n) 
example (n)
excellent (adj) 
except (conj & prep) 
excited (adj)
exciting (adj)
excuse (v)
exercise (n & v)
exhibition (n)
expensive (adj) 
experience (n) 
experiment (n)
explain (v)
explore (v)
explorer (n)
extra (adj)
eye (n)
face (n) 
fact (n) 
factory (n) 
fail (v)
fair (adj)
fall (n & v)
autumn)
family (n) 
famous (adj) 
fan (n)
fantastic (adj)
far (adv)
farm (n)
farmer (n)
fashion (n)
fast (adj & adv)
fast food (n)
fat (adj)
father (n) 
favourite (adj) 
feel (v)
feelings (n) 
festival (n)
few (det & adj)
field (n) 
file (n) 
fill (v)
fill in (phr v)
film (n & v)
final (adj) 
finally (adv) 
find (v)
find out (phr v)
fine (adj)
finger (n)
finish (v)
fire (n)
first (adv & adj)
first name (n)
first of all (adv)
fish (n & v)
fishing (n)
fit (adj)
fix (v)
flat (n) 
flight (n) 
floor (n)
flower (n)
fly (v)
fog (n) 
