abair
achainigh
achoimrigh
adhair
adharcáil
adhlaic
admhaigh
aeráil
agair
aibigh
aicmigh
aifir
aimridigh
aimsigh
ainmnigh
airigh
aisghair
aisig
aistarraing
aistrigh
aisíoc
aithin
áitigh
áitrigh
aithris
allmhairigh
alp
anailísigh
anluchtaigh
análaigh
aontaigh
ardaigh
aslonnaigh
athaimsigh
athaontaigh
athbheoigh
athbhreithnigh
athbhunaigh
athchas
athcheartaigh
athchomhairligh
athchóirigh
athchúrsáil
athdhearbhaigh
athdheisigh
athdhéan
atheagraigh
athghair
athghnóthaigh
athlonnaigh
athlíon
athnuaigh
athobair
athoil
athphlandáil
athraigh
athroinn
athscag
athsheol
athsholáthair
athshreangaigh
atosaigh
atreoraigh
atáirg
atóg
babhtáil
bac
bagair
bailigh
bain
baist
barrloisc
basc
batráil
bealaigh
beannaigh
bearnaigh
bearr
beartaigh
beir
beirigh
beoigh
bioraigh
bladair
bodhraigh
bog
bolg
borr
braith
breithnigh
breoigh
bris
broid
bronn
brostaigh
bruith
bréag
bréagnaigh
bróidnigh
brúigh
buaigh
buail
buain
buair
bunaigh
bácáil
báigh
bánaigh
bí
cabhraigh
cailg
caill
cairt
cairtfhostaigh
caith
can / labhair
canbhasáil
caoch
caoin
caolaigh
caomhnaigh
carn
cas
ceadaigh
cealaigh
cealg
ceangail
ceannaigh
ceap
ceartaigh
ceiliúir
ceistigh
ciallaigh
ciap
ciceáil
cigil
cinntigh
cionroinn
ciorclaigh
ciorraigh
ciúnaigh
clamhair
claochlaigh
claon
cleacht
clip
clis
clois
cloígh
cluimhrigh
cluin
clutharaigh
cláraigh
clóigh
clúdaigh
cnag
cnaígh
cneasaigh
cniotáil
codail
cogain
coigeartaigh
coigil
coigistigh
coill
coilínigh
coimeád
coimhéad
coimrigh
cóineartaigh
coinnigh
coinsínigh
coip
coir
coisc
coisric
comhaill
comhair
comhairligh
comharthaigh
comhbhailigh
comhbhrúigh
comhdhearbhaigh
comhdhlúthaigh
comhfhadaigh
comhfhortaigh
comhfhreagair
comhlíon
comhordaigh
comhréitigh
comhtharlaigh
comhtháthaigh
conlaigh
corn
corpraigh
corraigh
cosain
coscair
cothromaigh
crap
creach
creid
creim
creimseáil
criathraigh
croch
croith
crom
cros
croscheistigh
cruaigh
cruinnigh
cruthaigh
cráigh
créam
críochnaigh
cuardaigh
cuidigh
cuimhnigh
cuimil
cuimsigh
cuir
cum
cumaisc
cumhdaigh
cuntais
cáiligh
cáin
céas
cíor
cócaráil
cóimeáil
cóineartaigh
cóirigh
cónaigh
cúbláil
cúigleáil
cúisigh
cúitigh
cúngaigh
cúrsáil
daingnigh
dall
dallraigh
damnaigh
dathaigh
deachtaigh
dealaigh
dearbhaigh
dearc
dearg
deifrigh
deighil
deimhnigh
deisigh
deonaigh
dianscaoil
diasraigh
diomail
diúraic
doimhnigh
dorchaigh
dramhail
dreasaigh
driog
droimscríobh
druid
dubhaigh
dáil
déan
dí-armáil
dí-oighrigh
díbholg
díbir
dícheangail
dícheann
díchoimisiúnaigh
díchorn
díchreid
díchum
dícháiligh
díchóimeáil
dífhabhtaigh
díghalraigh
díleáigh
díluacháil
díluchtaigh
dílódáil
dínáisiúnaigh
díol
díothaigh
díphacáil
díreoigh
dírigh
díscaoil
díshealbhaigh
díshioc
díthruailligh
diúraic
dóigh
dúisigh
dul
dún
eadóirsigh
éadromaigh
eagraigh
easpórtáil
éalaigh
éiligh
éirigh
eiseachaid
éist
eitil
fadaigh
faigh
fair
fairsingigh
fan
faobhraigh
feabhsaigh
feall
feic
feidhmigh
feistigh
feoigh
fiach
fiafraigh
fiar
figh
fill
fionn
fiosraigh
fiuch
fliuch
foghlaim
foilsigh
folaigh
folc
folig
folmhaigh
forbair
formhéadaigh
forshuigh
fortaigh
fostaigh
freagair
freastail
frithchaith
fuadaigh
fuaigh
fuaimnigh
fuascail
fuathaigh
fuin
fulaing
fág
fáiltigh
fáisc
fálaigh
fás
féach
fíoraigh
fógair
fóir
gabh
gaibhnigh
gair
galraigh
galstobh
geal
geall
gearr
gin
giorraigh
giortaigh
glac
glan
glaoigh
gloinigh
glám
gléas
glónraigh
gnáthaigh
gníomhachtaigh
gníomhaigh
gnóthaigh
gob
goid
goil
gor
gortaigh
gread
greamaigh
grean
greasáil
grinnléigh
griog
griosaigh
gráinigh
gráinseáil
gríosc
grúdaigh
guailleáil
gualaigh
géaraigh
géill
hiopnóisigh
iarr
imigh
imir
impigh
imscaoil
imtheorannaigh
inbhéartaigh
infheistigh
inis
iniúch
insealbhaigh
insligh
insteall
íoc
iolraigh
iomlánaigh
iompaigh
iompair
iompórtáil
ionchorpraigh
ionchúisigh
ionfhabhtaigh
ionramháil
ionsaigh
ionsúigh
íoslaghdaigh
íoslódáil
íosmhéadaigh
ith
lagaigh
laghdhdaigh
lamháil
lansaigh
las
lasc
leachtaigh
leadair
leag
lean
leasaigh
leath
leathnaigh
leigheas
leithlisigh
leomh
leáigh
lig
ligh
liostaigh
liostáil
lobh
loc
lochtaigh
loit
lom
lonnaigh
lorg
luacháil
luaigh
luathaigh
luchtaigh
luigh
láidrigh
láimhsigh
láraigh
léas
léigh
léim
léirigh
léirsigh
líomhain
líon
lódáil
lúb
machnaigh
maidhm
mair
maisigh
maistrigh
maith
malartaigh
mallaigh
maolaigh
maothaigh
maraigh
maslaigh
maígh
meabhraigh
meall
mearaigh
meas
measc
meidhrigh
meil
meáigh
mill
milsigh
mionaigh
mionbhrúigh
mionscrúdaigh
modhnaigh
moilligh
mol
monaraigh
morg
muirnigh
mungail
méadaigh
méaraigh
mínigh
múch
múin
múscail
nasc
neadaigh
neartaigh
neodraigh
nigh
nuachóirigh
náisiúnaigh
nódaigh
obair
oighrigh
oil
oirnigh
ól
ollchóirigh
onnmhairigh
onóraigh
ordaigh
ornáidigh
oscail
pacáil
pearsanaigh
pioc
píolótaigh
plac
pléadáil
pléasc
plúch
poibligh
poll
poncloisc
potbhiathaigh
prioc
promh
pábháil
póraigh
pós
radaigh
ramhraigh
rangaigh
ransaigh
reoigh
riar
righ
rith
robáil
roghnaigh
roinn
rois
rop
rothlaigh
ruadhóigh
ruaig
ruathair
rácáil
réal
réamhaithris
réamhcheannaigh
réamhdhátaigh
réasúnaigh
réitigh
ríomh
ríomhairigh
rómhair
rúisc
sábh
sábháil
sádráil
sáigh
sáinnigh
sáraigh
sásaigh
sac
saibhrigh
saibhseáil
saighid
sainaithin
sainigh
sainmhínigh
samhlaigh
sann
santaigh
saobh
saor
saothraigh
scag
scaip
scaird
scairt
scall
scan
scanraigh
scaoil
scar
sceimhligh
sceith
scil
scimeáil
sciob
scioll
sciorr
scoir
scoith
scor
scrabh
scrios
scrábáil
scréach
scríobh
scrúdaigh
seachaid
sealbhaigh
séan
séid
searbhaigh
searg
seas
seiceáil
seiftigh
seilg
seinn
seol
sioc
siortaigh
siúntaigh
slad
sleamhnaigh
slog
slánaigh
slíoc
smachtaigh
smaoinigh
smeadráil
smear
smiot
smol
smuigleáil
smálaigh
smúr
snaidhm
snoigh
snámh
socraigh
soilsigh
soiléirigh
soláthair
sonraigh
spall
spalp
spoch
spreag
spáráil
spíon
spól
srac
sraon
sreangaigh
srian
sroich
sruthlaigh
stad
steall
steiriligh
stiúir
stoith
streachail
stócáil
suaimhnigh
suaith
suigh
suiteáil
síl
síolraigh
sóinseáil
súigh
tabhaigh
tabhair
tacht
tairngir
taiscéal
taispeáin
taithigh
tanaigh
taom
tarchuir
tarlaigh
tarraing
tarrtháil
tarscaoil
teagasc
teann
teasc
teasdíon
teilg
teimhligh
teorannaigh
timpeallaigh
tiomnaigh
tiomsaigh
tiomáin
tionlaic
tionscain
tiontaigh
tionóil
tirimghlan
tit
tiubhaigh
tochail
togair
togh
toghair
toll
tomhais
tosaigh
traoch
trasnaigh
treascair
treisigh
treáigh
truailligh
tréig
tuairteáil
tuar
tuaslaig
tuig
tuill
tuirling
tum
táblaigh
táthaigh
téacht
tóg
tóraigh
uchtaigh
uimhrigh
uirísligh
uiscigh
ullmhaigh
úraigh
urchoill
vacsaínigh
